PURCHASE ORDER #,START SHIP DATE,END SHIP DATE,EVENT_ID,EVENT_START_DATE,EVENT_END_DATE
22467379,12/20/19,1/12/20,314451,4/11/20 8:00,4/14/20 8:00
22467381,12/20/19,1/12/20,314452,4/11/20 8:00,4/14/20 8:00
22467382,12/20/19,1/12/20,314453,4/11/20 8:00,4/14/20 8:00
22467383,12/20/19,1/12/20,314454,4/11/20 8:00,4/14/20 8:00
22467384,12/20/19,1/12/20,314455,4/11/20 8:00,4/14/20 8:00
22467385,12/20/19,1/12/20,314458,4/11/20 8:00,4/14/20 8:00
22467386,12/20/19,1/12/20,314459,4/11/20 8:00,4/14/20 8:00
22467387,12/20/19,1/12/20,314460,4/11/20 8:00,4/14/20 8:00
22467389,12/20/19,1/12/20,314461,4/11/20 8:00,4/14/20 8:00
22467390,12/20/19,1/12/20,314462,4/11/20 8:00,4/14/20 8:00
22467391,12/20/19,1/12/20,314463,4/11/20 8:00,4/14/20 8:00
22467392,12/20/19,1/12/20,314464,4/11/20 8:00,4/14/20 8:00
22467393,12/20/19,1/12/20,314507,4/11/20 8:00,4/14/20 8:00
22467394,12/20/19,1/12/20,314508,4/11/20 8:00,4/14/20 8:00
22467395,12/20/19,1/12/20,314509,4/11/20 8:00,4/14/20 8:00
22467396,12/20/19,1/12/20,314513,4/11/20 8:00,4/14/20 8:00
22467397,12/20/19,1/12/20,314515,4/11/20 8:00,4/14/20 8:00
22467398,12/20/19,1/12/20,314518,4/11/20 8:00,4/14/20 8:00
22467399,12/20/19,1/12/20,314520,4/11/20 8:00,4/14/20 8:00
22467400,12/20/19,1/12/20,314523,4/11/20 8:00,4/14/20 8:00
22467401,12/20/19,1/12/20,314625,4/11/20 8:00,4/14/20 8:00
22467402,12/20/19,1/12/20,314629,4/11/20 8:00,4/14/20 8:00
22467403,12/20/19,1/12/20,314627,4/11/20 8:00,4/14/20 8:00
22467404,12/20/19,1/12/20,314630,4/11/20 8:00,4/14/20 8:00
22467405,12/20/19,1/12/20,314628,4/11/20 8:00,4/14/20 8:00
22467406,12/20/19,1/12/20,314634,4/11/20 8:00,4/14/20 8:00
22469343,12/20/19,1/12/20,314633,4/11/20 8:00,4/14/20 8:00
22469345,12/20/19,1/12/20,314635,4/11/20 8:00,4/14/20 8:00
22469346,12/20/19,1/12/20,314636,4/11/20 8:00,4/14/20 8:00
22469347,12/20/19,1/12/20,314632,4/11/20 8:00,4/14/20 8:00
22469348,12/20/19,1/12/20,314644,4/11/20 8:00,4/14/20 8:00
